NUMBER_KEY,SUB_TYPE_DESC,ENTERED_DATE,DATA_STATUS_DISPLAY,LATITUDE,LONGITUDE,address,parcel_id
PSC2211971,"litter, private property",2022-12-09T00:00:00Z,Intake - New Case,39.1142260335671,-84.5785582187168,3920 GLENWAY AV,NA
BC20220499,use of comm property stndrd,2022-12-09T00:00:00Z,Intake - New Case,39.1143572586277,-84.5138862654651,118 E MCMICKEN AV,NA
PSC2211970,"litter, private property",2022-12-09T00:00:00Z,Intake - New Case,39.1418616550701,-84.587035356724,2608 HARRISON AV,NA
PSC2211984,"litter, private property",2022-12-09T00:00:00Z,Intake - New Case,39.1287530992757,-84.5772527925171,2300 QUEEN CITY AV,NA
B202206497,res code standard,2022-12-09T00:00:00Z,Intake - New Case,39.215594928253,-84.4821562330833,1603 GOVERNOR TER,NA
B202206503,res code standard,2022-12-09T00:00:00Z,Intake - New Case,39.100145725747,-84.5141561469292,410 RACE ST,NA
PSA2202230,"litter, private property",2022-12-09T00:00:00Z,Case Voided,39.1228706207359,-84.5542778094025,2181 GRAND AV,NA
PSC2211990,"trash, empty cans left out",2022-12-09T00:00:00Z,NA,39.2043293599783,-84.5747083196517,2508 FLANIGAN CT,NA
B202206486,res code standard,2022-12-08T00:00:00Z,Intake - New Case,39.1740166866421,-84.4349468280065,5501 GLENGATE LN,NA
FPC2201626,veh parked on grass/sidewalk,2022-12-13T00:00:00Z,Violation Letter,39.2889127323766,-84.520239802211,1111 W KEMPER RD,NA
FPC2201624,veh parked on grass/sidewalk,2022-12-13T00:00:00Z,Violation Letter,39.2905572295004,-84.506959838051,815 W KEMPER RD,NA
FPC2201625,veh parked on grass/sidewalk,2022-12-13T00:00:00Z,Violation Letter,39.2898447135944,-84.5127460167976,943 W KEMPER RD,NA
PSC2212062,"litter, private property",2022-12-13T00:00:00Z,Citation Issued,39.1420803743373,-84.5866327446601,2606 HARRISON AV,NA
B202206532,res code standard,2022-12-13T00:00:00Z,Intake - New Case,39.2141835417459,-84.4827871555223,200 W GALBRAITH RD,NA
PSC2212061,"litter, private property",2022-12-13T00:00:00Z,Intake - New Case,39.100400875519,-84.5954734951841,508 S DELRIDGE DR,NA
B202204868,concentrated code,2022-12-13T00:00:00Z,Intake - New Case,39.130212707472,-84.6020143665437,3028 S HEGRY CIR,NA
PSA2202236,"litter, private property",2022-12-13T00:00:00Z,New,39.1144914464595,-84.5140663731256,112 E MCMICKEN AV,NA
FPC2201623,veh parked on grass/sidewalk,2022-12-13T00:00:00Z,Violation Letter,39.2902953284266,-84.509242470338,867 W KEMPER RD,NA
PSC2212058,"litter, private property",2022-12-13T00:00:00Z,Citation Issued,39.1227924290378,-84.5152419528012,2263 VINE ST,NA
B202206535,res code standard,2022-12-13T00:00:00Z,Intake - New Case,39.1975424314289,-84.4551901647505,1844 SECTION RD,NA
PSC2212059,"dumping, prv prop <2500 sq ft",2022-12-13T00:00:00Z,Intake - New Case,39.1325611171964,-84.4938039777312,667 LINCOLN AV,NA
BC20220625,comm code standard,2022-12-13T00:00:00Z,Intake - New Case,39.0994463487228,-84.5152075900653,133 W 4TH ST,NA
B202206533,res code standard,2022-12-13T00:00:00Z,Intake - New Case,39.2141835417459,-84.4827871555223,200 W GALBRAITH RD,NA
PSA2202237,"litter, private property",2022-12-13T00:00:00Z,New,39.1160745134223,-84.516367960109,29 E MCMICKEN AV,NA
PSC2212056,"litter, private property",2022-12-13T00:00:00Z,Intake - New Case,39.144631547535,-84.4693599556241,3572 MONTGOMERY RD,NA
PSA2202232,"litter, private property",2022-12-12T00:00:00Z,New,39.1629881261754,-84.5168036832577,4125 CLIFTON AV,NA
PSA2202235,"litter, private property",2022-12-12T00:00:00Z,New,39.1273057030359,-84.549174802056,1575 TREMONT ST,NA
PSC2212045,"litter, private property",2022-12-12T00:00:00Z,Intake - New Case,39.1327250307122,-84.6000794759946,2500 FERGUSON RD,NA
B202206520,res code standard,2022-12-12T00:00:00Z,Intake - New Case,39.1131082445156,-84.577026931144,1132 BEECH AV,NA
FPC2201620,litter private property,2022-12-12T00:00:00Z,Violation Letter,39.2766445465882,-84.3477326543393,11501 NORTHLAKE DR,NA
PSC2212016,"litter, private property",2022-12-12T00:00:00Z,Citation Issued,39.1094684479137,-84.5058290074467,518 READING RD,NA
B202206526,res code standard,2022-12-12T00:00:00Z,Intake - New Case,39.1731830847807,-84.4348709530174,5475 GLENGATE LN,NA
PSC2212042,"litter, private property",2022-12-12T00:00:00Z,Intake - New Case,39.1644476785872,-84.547918750617,1803 CHASE AV,NA
PSC2212046,"dumping, prv prop <2500 sq ft",2022-12-12T00:00:00Z,Intake - New Case,39.1122833834172,-84.5082112381198,322 E LIBERTY ST,NA
B202204867,parking in yard stndrd,2022-12-12T00:00:00Z,Intake - New Case,39.1947128117679,-84.5661761350479,2411 W NORTH BEND RD,NA
PSC2212039,"litter, private property",2022-12-12T00:00:00Z,Intake - New Case,39.1409665436665,-84.6183683932014,5991 GLENWAY AV,NA
B202206521,res code standard,2022-12-12T00:00:00Z,Intake - New Case,39.203580982716,-84.5534789972195,1824 W NORTH BEND RD,NA
JV22000964,junk veh on private prop,2022-12-12T00:00:00Z,Orders Issued,39.1303971155696,-84.7056066696401,7486 GRACELY DR,NA
PSC2212037,"dumping, prv prop <2500 sq ft",2022-12-12T00:00:00Z,Intake - New Case,39.153027075862,-84.556679359549,2085 FARADAY RD,NA
PSC2212036,"litter, private property",2022-12-12T00:00:00Z,Intake - New Case,39.1496096869427,-84.5868562368502,3410 TINAVIEW CT,NA
PSC2212022,"trash, empty cans left out",2022-12-12T00:00:00Z,Intake - New Case,39.1065350565785,-84.5211774434185,1027 CENTRAL AV,NA
PSC2212018,"dumping, prv prop <2500 sq ft",2022-12-12T00:00:00Z,Closed - Transferred to another Agency,39.1676847106458,-84.4306060314494,5200 LESTER RD,NA
B202206519,res code standard,2022-12-12T00:00:00Z,Intake - New Case,39.2184300758586,-84.4841886226698,5401 KINGSWAY CT W,NA
JV22000968,junk veh on private prop,2022-12-12T00:00:00Z,Intake - New Case,39.1774848166757,-84.4773128603938,4950 PADDOCK RD,NA
JV22000966,junk veh on private prop,2022-12-12T00:00:00Z,Notice of Violation,39.1496096869427,-84.5868562368502,3410 TINAVIEW CT,NA
B202206511,res code standard,2022-12-12T00:00:00Z,Intake - New Case,39.157612453628,-84.5576671862312,2208 CITY VIEW CIR,NA
PSC2212017,"litter, private property",2022-12-12T00:00:00Z,Closed - Transferred to another Agency,39.1635339191631,-84.4250593572138,3252 GEIER DR,NA
PSC2212027,"litter, private property",2022-12-12T00:00:00Z,Intake - New Case,39.1311863961016,-84.6091911493847,5558 GLENWAY AV,NA
PSC2212044,"litter, private property",2022-12-12T00:00:00Z,Citation Issued,39.1247530538348,-84.5573086315468,1772 ESMONDE ST,NA
B202206531,res code standard,2022-12-12T00:00:00Z,Intake - New Case,39.1204202253127,-84.5252889741842,303 W MCMICKEN AV,NA
B202206527,tree on priv prop standard,2022-12-12T00:00:00Z,Intake - New Case,39.1596014434676,-84.3818810799847,6705 MADISON RD,NA
B202204866,parking in yard stndrd,2022-12-12T00:00:00Z,Intake - New Case,39.1496096869427,-84.5868562368502,3410 TINAVIEW CT,NA
PSC2212005,"litter, private property",2022-12-10T00:00:00Z,Closed - Transferred to another Agency,39.1211206145555,-84.5293671778948,2112 CENTRAL AV,NA
B202204864,parking in yard stndrd,2022-12-09T00:00:00Z,Intake - New Case,39.2013773609578,-84.5628283255248,2181 W NORTH BEND RD,NA
PSC2211939,"litter, private property",2022-12-08T00:00:00Z,Citation Issued,39.1395356137522,-84.5279132398713,587 W MARTIN LUTHER KING JR DR,NA
JV22000957,junk veh on private prop,2022-12-08T00:00:00Z,Intake - New Case,39.1975923420357,-84.4842812538497,242 W 73RD ST,NA
B202206478,res code standard,2022-12-08T00:00:00Z,Intake - New Case,39.1866054013678,-84.5110165979629,5248 HOLLAND DR,NA
B202206487,tree on priv prop standard,2022-12-08T00:00:00Z,Intake - New Case,39.1109423438255,-84.6909165242269,6518 GRACELY DR,NA
BC20220498,use of comm property stndrd,2022-12-08T00:00:00Z,Orders Issued,39.1210667864355,-84.6015823398901,4989 GLENWAY AV,NA
JV22000955,junk veh on private prop,2022-12-08T00:00:00Z,Notice of Violation,39.1339398644212,-84.5677932155766,2090 HARRISON AV,NA
BC20220624,comm code standard,2022-12-08T00:00:00Z,Intake - New Case,39.1922205768903,-84.4846024466302,6663 FAIRPARK AV,NA
PSC2211960,"litter, private property",2022-12-08T00:00:00Z,Citation Issued,39.1311533291863,-84.4838168518649,2906 ALMS PL,NA
B202206474,res code standard,2022-12-08T00:00:00Z,Intake - New Case,39.1089983882216,-84.5793942899205,865 ACADEMY AV,NA
BC20220622,vacant comm bldg-barrc,2022-12-08T00:00:00Z,Intake - New Case,39.1202340394645,-84.5246278486199,2019 MOHAWK PL,NA
B202204863,parking in yard stndrd,2022-12-08T00:00:00Z,Intake - New Case,39.1970781145358,-84.5662915864732,2338 W NORTH BEND RD,NA
PSC2211923,"litter, private property",2022-12-07T00:00:00Z,Citation Issued,39.1401459650141,-84.5573358569365,1991 SUTTER AV,NA
B202204857,parking in yard stndrd,2022-12-07T00:00:00Z,Intake - New Case,39.1974185265561,-84.4958564871624,939 W SEYMOUR AV,NA
B202206467,res code standard,2022-12-07T00:00:00Z,Intake - New Case,39.1910989982781,-84.5675415342898,5469 KIRBY AV,NA
PSA2202224,"litter, private property",2022-12-07T00:00:00Z,New,39.1095179420349,-84.5646217818676,969 PURCELL AV,NA
B202206456,res code standard,2022-12-07T00:00:00Z,Intake - New Case,39.194554905933,-84.5662526664504,2425 W NORTH BEND RD,NA
B202206457,res code standard,2022-12-07T00:00:00Z,Intake - New Case,39.1529869756044,-84.4345407985906,4111 33RD AV,NA
PSC2211932,"litter, private property",2022-12-07T00:00:00Z,Closed - Transferred to another Agency,39.1536849482184,-84.4036511554816,4329 RED BANK RD,NA
B202204856,parking in yard stndrd,2022-12-07T00:00:00Z,Intake - New Case,39.1972004928914,-84.4955997011455,931 W SEYMOUR AV,NA
PSC2211920,"trash, improper set out",2022-12-07T00:00:00Z,Refer to Sanitation,39.1395356137522,-84.5279132398713,587 W MARTIN LUTHER KING JR DR,NA
PSC2211930,"litter, private property",2022-12-07T00:00:00Z,Intake - New Case,39.1930520631211,-84.4846400518926,122 W 68TH ST,NA
B202204858,parking in yard stndrd,2022-12-07T00:00:00Z,Intake - New Case,39.1967066717129,-84.4952503786759,915 W SEYMOUR AV,NA
PSC2211919,"litter, private property",2022-12-07T00:00:00Z,Citation Issued,39.1520168378875,-84.5651539739428,2370 HENRIANNE CT,NA
PSC2211928,"litter, private property",2022-12-07T00:00:00Z,Intake - New Case,39.1416277030573,-84.6137435626909,3119 GLENMORE AV,NA
B202204860,parking in yard stndrd,2022-12-07T00:00:00Z,Intake - New Case,39.1937873972061,-84.5661700941619,2437 W NORTH BEND RD,NA
B202204859,parking in yard stndrd,2022-12-07T00:00:00Z,Intake - New Case,39.1979072935993,-84.4963397951946,1015 W SEYMOUR AV,NA
PSC2211895,"litter, private property",2022-12-06T00:00:00Z,Intake - New Case,39.1311207780814,-84.6037341007065,3068 N HEGRY CIR,NA
PSC2211897,"trash, improper set out",2022-12-06T00:00:00Z,Refer to Sanitation,39.117376479427,-84.5806820260601,4034 W LIBERTY ST,NA
B202206386,res code standard,2022-12-06T00:00:00Z,Intake - New Case,39.2181559804801,-84.4807810158804,6602 LEEDS LN E,NA
B202206383,res code standard,2022-12-06T00:00:00Z,Intake - New Case,39.2153432537813,-84.4804898661928,3311 YORK LN,NA
B202206446,res code standard,2022-12-06T00:00:00Z,Intake - New Case,39.1223943850429,-84.60000720248,4878 N OVERLOOK AV,NA
B202206384,res code standard,2022-12-06T00:00:00Z,Intake - New Case,39.2191496399409,-84.4827402469173,6205 MEYERS DR,NA
PSC2211906,"dumping, prv prop <2500 sq ft",2022-12-06T00:00:00Z,Intake - New Case,39.1514877837867,-84.5469768399784,3611 ROLL AV,NA
B202206380,res code standard,2022-12-06T00:00:00Z,Orders Issued,39.218617636696,-84.4834984094346,5305 KINGSWAY CT W,NA
B202206389,res code standard,2022-12-06T00:00:00Z,Intake - New Case,39.2204213112151,-84.4883509796798,9004 CONSTITUTION DR,NA
B202206432,res code standard,2022-12-06T00:00:00Z,Intake - New Case,39.2187250967198,-84.482191621952,6102 MEYERS DR,NA
B202206436,res code standard,2022-12-06T00:00:00Z,Intake - New Case,39.1022198114512,-84.5515352360272,616 CHURCH ST,NA
B202206443,res code standard,2022-12-06T00:00:00Z,Intake - New Case,39.1135882672122,-84.5134130121562,145 E MCMICKEN AV,NA
B202204852,parking in yard stndrd,2022-12-06T00:00:00Z,Intake - New Case,39.1892286767307,-84.5738530175851,2700 W NORTH BEND RD,NA
B202206444,res code standard,2022-12-06T00:00:00Z,Intake - New Case,39.1957904323113,-84.543944182463,1500 GROESBECK RD,NA
B202204850,parking in yard stndrd,2022-12-06T00:00:00Z,Orders Issued,39.1231161286461,-84.5511153039521,2186 SELIM AV,NA
B202206433,res code standard,2022-12-06T00:00:00Z,Intake - New Case,39.2181551626292,-84.4806680162251,6605 LEEDS LN E,NA
B202206445,res code standard,2022-12-06T00:00:00Z,Closed,39.189361937789,-84.5113778250629,569 DUTCH COLONY DR,NA
B202206447,res code standard,2022-12-06T00:00:00Z,Orders Issued,39.1735986882411,-84.5176656659097,732 EAST EPWORTH AV,NA
B202206385,res code standard,2022-12-06T00:00:00Z,Intake - New Case,39.220689599936,-84.4896825593908,8807 CONSTITUTION DR,NA
B202206378,res code standard,2022-12-06T00:00:00Z,Orders Issued,39.2186958826408,-84.4834194175909,5307 KINGSWAY CT W,NA
B202206375,res code standard,2022-12-06T00:00:00Z,Intake - New Case,39.2191496399409,-84.4827402469173,6205 MEYERS DR,NA
JV22000944,junk veh on private prop,2022-12-06T00:00:00Z,Orders Issued,39.1615886577605,-84.5337211174503,1324 KNOWLTON ST,NA
B202206442,res code standard,2022-12-06T00:00:00Z,Intake - New Case,39.2188648013549,-84.483177051834,5312 KINGSWAY CT W,NA
PSC2211901,"litter, private property",2022-12-06T00:00:00Z,Citation Issued,39.198539199748,-84.458292087484807,7539 READING RD,NA
BC20220615,comm code standard,2022-12-05T00:00:00Z,Intake - New Case,39.1099727696509,-84.5623684721768,3106 WARSAW AV,NA
BC20220493,signage problem stndrd,2022-12-05T00:00:00Z,Orders Issued,39.1142644710215,-84.5793243577085,4000 GLENWAY AV,NA
BC20220494,signage problem stndrd,2022-12-05T00:00:00Z,Intake - New Case,39.1107089968405,-84.5717493922891,3630 WARSAW AV,NA
BC20220496,signage problem stndrd,2022-12-05T00:00:00Z,Intake - New Case,39.1099727696509,-84.5623684721768,3106 WARSAW AV,NA
B202206334,res code standard,2022-12-05T00:00:00Z,Intake - New Case,39.1326410774432,-84.4856254517775,3013 PARK AV,NA
B202206333,res code standard,2022-12-05T00:00:00Z,Intake - New Case,39.193165310145,-84.4188093853279,6450 CRESTVIEW AV,NA
BC20220491,signage problem stndrd,2022-12-05T00:00:00Z,Orders Issued,39.1134842116531,-84.5875893322015,4420 GLENWAY AV,NA
B202206354,res code standard,2022-12-05T00:00:00Z,Intake - New Case,39.2190042788411,-84.481281562813,6807 LEEDS LN W,NA
BC20220609,comm code standard,2022-12-05T00:00:00Z,Intake - New Case,39.2188413342199,-84.4832646521206,5311 KINGSWAY CT W,NA
B202206337,res code standard,2022-12-05T00:00:00Z,Intake - New Case,39.2165506773671,-84.4847251041049,902 SUGARBALL LN,NA
JV22000940,junk veh on private prop,2022-12-05T00:00:00Z,Orders Issued,39.1491052401765,-84.6130407642088,3391 GLENMORE AV,NA
BC20220616,comm code standard,2022-12-05T00:00:00Z,Intake - New Case,39.0978177496532,-84.5050774115073,100 BROADWAY,NA
B202206340,res code standard,2022-12-05T00:00:00Z,Intake - New Case,39.1558456117326,-84.5749810290285,2417 MONTANA AV,NA
B202206341,res code standard,2022-12-05T00:00:00Z,Intake - New Case,39.1435477126334,-84.5929893383432,2830 HARRISON AV,NA
PSC2211883,"litter, private property",2022-12-05T00:00:00Z,Citation Issued,39.1359595901169,-84.5714213716289,2165 KARLA DR,NA
B202204848,parking in yard stndrd,2022-12-05T00:00:00Z,Intake - New Case,39.1895372524368,-84.5793216984183,2848 W NORTH BEND RD,NA
B202206355,res code standard,2022-12-05T00:00:00Z,Intake - New Case,39.215916409158,-84.4837539769536,607 SUGARBALL LN,NA
B202204849,parking in yard stndrd,2022-12-05T00:00:00Z,Intake - New Case,39.2017963592117,-84.562586489204,2163 W NORTH BEND RD,NA
BC20220613,comm code standard,2022-12-05T00:00:00Z,Intake - New Case,39.1107089968405,-84.5717493922891,3630 WARSAW AV,NA
B202204845,run business fm res stndrd,2022-12-05T00:00:00Z,Intake - New Case,39.2084367799601,-84.5484917798078,6425 HAMILTON AV,NA
B202206365,res code standard,2022-12-05T00:00:00Z,Intake - New Case,39.1765492742222,-84.4350800734712,2955 COLONIAL RIDGE CT,NA
BC20220610,comm code standard,2022-12-05T00:00:00Z,Intake - New Case,39.1134842116531,-84.5875893322015,4420 GLENWAY AV,NA
BC20220495,signage problem stndrd,2022-12-05T00:00:00Z,Orders Issued,39.1102450430907,-84.568972007113,3511 WARSAW AV,NA
B202206339,res code standard,2022-12-05T00:00:00Z,Intake - New Case,39.0948807749081,-84.3852423971655,6242 CORBLY ST,NA
BAR2200187,barricade commercial,2022-12-05T00:00:00Z,Notice of Intent Issued to Owner,39.1145244444109,-84.5841159797421,4220 GLENWAY AV,NA
B202206348,res code standard,2022-12-05T00:00:00Z,Orders Issued,39.1561638109493,-84.3877537049526,4623 WINONA TER,NA
B202206344,res code standard,2022-12-05T00:00:00Z,Intake - New Case,39.1469992322823,-84.4940829599292,3559 VAN ANTWERP PL,NA
B202206342,res code standard,2022-12-05T00:00:00Z,Intake - New Case,39.2191693146208,-84.4835175212955,5501 KINGSWAY CT W,NA
PSC2211881,"dumping, prv prop <2500 sq ft",2022-12-05T00:00:00Z,Closed - Transferred to another Agency,39.1680665485077,-84.4314244175206,5180 LESTER RD,NA
BC20220612,comm code standard,2022-12-05T00:00:00Z,Intake - New Case,39.1142644710215,-84.5793243577085,4000 GLENWAY AV,NA
PSC2211878,"litter, private property",2022-12-05T00:00:00Z,Citation Issued,39.1983106036832,-84.4586563090451,7525 READING RD,NA
BC20220492,signage problem stndrd,2022-12-05T00:00:00Z,Orders Issued,39.1141835893565,-84.5833690792205,4207 GLENWAY AV,NA
BC20220611,comm code standard,2022-12-05T00:00:00Z,Intake - New Case,39.1141835893565,-84.5833690792205,4207 GLENWAY AV,NA
B202206327,res code standard,2022-12-04T00:00:00Z,Orders Issued,39.1907350417582,-84.5110642213319,5576 GARDENHILL LN,NA
PSC2211872,"litter, private property",2022-12-04T00:00:00Z,Citation Issued,39.1069647241678,-84.5593228194206,2812 PRICE AV,NA
PSC2211873,"litter, private property",2022-12-04T00:00:00Z,Citation Issued,39.1087718850536,-84.6887761069342,6400 GRACELY DR,NA
FPC2201604,garbage in the row,2022-12-02T00:00:00Z,Closed - In Compliance,39.2903840492211,-84.5049015461533,775 W KEMPER RD,NA
B202206315,res code standard,2022-12-02T00:00:00Z,Intake - New Case,39.1375842607134,-84.5325436594197,2970 CENTRAL PKWY,NA
PSC2211869,"litter, private property",2022-12-02T00:00:00Z,Closed - Transferred to another Agency,39.1122128042049,-84.5083220290113,322 E LIBERTY ST,NA
B202206316,res code standard,2022-12-02T00:00:00Z,Intake - New Case,39.114267373579,-84.5308404390127,936 W LIBERTY ST,NA
B202204842,parking in yard stndrd,2022-12-02T00:00:00Z,Intake - New Case,39.1412602572079,-84.5812266308046,2458 HARRISON AV,NA
B202202836,commercial code violation,2022-12-02T00:00:00Z,Received by Hazard Abatement,39.1269860981706,-84.5630120066742,1920 QUEEN CITY AV,NA
PSC2211868,"litter, private property",2022-12-02T00:00:00Z,Intake - New Case,39.1351989489864,-84.494682781845,3114 BORRMAN AV,NA
BC20220608,comm code standard,2022-12-02T00:00:00Z,Intake - New Case,39.116563809539,-84.5512415038102,2670 LEHMAN RD,NA
B202206308,res code standard,2022-12-01T00:00:00Z,Closed,39.1326410774432,-84.4856254517775,3013 PARK AV,NA
B202206307,res code standard,2022-12-01T00:00:00Z,Intake - New Case,39.1480866496664,-84.5529443000783,1957 MILLVALE CT,NA
B202206306,res code standard,2022-12-01T00:00:00Z,Intake - New Case,39.1201179628662,-84.485458733834,2200 VICTORY PKWY,NA
PSC2211839,"dumping, prv prop <2500 sq ft",2022-12-01T00:00:00Z,Closed - Transferred to another Agency,39.1381667794876,-84.4852983754556,3250 RAMMELSBURG ST,NA
BC20220490,concentrated code,2022-12-01T00:00:00Z,Orders Issued,39.1143215793737,-84.5758324113591,3800 GLENWAY AV,NA
PSC2211840,"litter, private property",2022-12-01T00:00:00Z,Citation Issued,39.1446148688774,-84.4698567644336,3569 MONTGOMERY RD,NA
BC20220174,concentrated code,2022-12-01T00:00:00Z,Orders Issued,39.2003170276098,-84.4575827887873,7633 READING RD,NA
B202206309,res code standard,2022-12-01T00:00:00Z,Closed,39.1109995258066,-84.5597652668626,1035 PARKSON PL,NA
FPC2201603,litter private property,2022-12-01T00:00:00Z,Violation Letter,39.2757536398324,-84.504957008184,746 W SHARON RD,NA
B202206313,res code standard,2022-12-01T00:00:00Z,Intake - New Case,39.1194274181104,-84.5182832818753,102 W CLIFTON AV,NA
FPC2201602,litter private property,2022-12-01T00:00:00Z,Closed - In Compliance,39.2756417591243,-84.5042789307965,734 W SHARON RD,NA
PSA2202220,"litter, private property",2022-12-01T00:00:00Z,Abated by the Owner,39.1248812486879,-84.4983355193021,2397 SYMMES ST,NA
B202206281,res code standard,2022-11-30T00:00:00Z,Closed,39.2003170276098,-84.4575827887873,7633 READING RD,NA
ZC20220180,@@@@@,2022-11-30T00:00:00Z,NA,39.138730525187,-84.6261936144916,5313 ROBERT AV,NA
B202206298,res code standard,2022-11-30T00:00:00Z,Intake - New Case,39.110636283125,-84.5053159179827,535 E 13TH ST,NA
PSC2211827,"trash, early set out",2022-11-30T00:00:00Z,NA,39.2043293599783,-84.5747083196517,2508 FLANIGAN CT,NA
B202206286,res code standard,2022-11-30T00:00:00Z,Intake - New Case,39.116911560171,-84.5795013328428,4011 W LIBERTY ST,NA
PSC2211830,"trash, improper set out",2022-11-30T00:00:00Z,Refer to Sanitation,39.1298380502742,-84.4918121143969,807 OAK ST,NA
BC20220603,comm code standard,2022-11-30T00:00:00Z,Intake - New Case,39.1320067410183,-84.4619117533773,2027 MADISON RD,NA
B202206282,res code standard,2022-11-30T00:00:00Z,Orders Issued,39.1870667513033,-84.4582017098667,6174 JOYCE LN,NA
B202206299,res code standard,2022-11-30T00:00:00Z,Orders Issued,39.1472565492834,-84.5218826470618,3538 MIDDLETON AV,NA
BC20220604,comm code standard,2022-11-30T00:00:00Z,Intake - New Case,39.1320689788249,-84.4616419767638,2035 MADISON RD,NA
BC20220601,comm code standard,2022-11-30T00:00:00Z,Reinspection,39.1057903380162,-84.5156854269521,920 RACE ST,NA
JV22000931,junk veh on private prop,2022-11-30T00:00:00Z,Referred for Towing to Impound Lot,39.1956628414772,-84.4784244876682,7210 VINE ST,NA
B202206275,res code standard,2022-11-29T00:00:00Z,Orders Issued,39.1104998801859,-84.507959386395,414 E 13TH ST,NA
PSC2211786,"litter, private property",2022-11-29T00:00:00Z,Citation Issued,39.1503459690984,-84.5108399294222,3655 VINE ST,NA
PSC2211804,"litter, private property",2022-11-29T00:00:00Z,Closed - Transferred to another Agency,39.159606292655,-84.4181260777867,4554 CAMBERWELL RD,NA
BC20220173,"lights, shining into bldg",2022-11-29T00:00:00Z,Orders Issued,39.188382954223,-84.4140558686063,6564 MONTGOMERY RD,NA
BC20220600,comm code standard,2022-11-29T00:00:00Z,Intake - New Case,39.1199525157073,-84.5594669096887,1859 GRAND AV,NA
JV22000926,junk veh on private prop,2022-11-29T00:00:00Z,Abated by the Owner,39.1798371169625,-84.4279547855456,5915 RIDGE AV,NA
PSC2211783,"litter, private property",2022-11-29T00:00:00Z,Citation Issued,39.1266680684668,-84.4849702212901,2525 VICTORY PKWY,NA
B202206273,res code standard,2022-11-29T00:00:00Z,Orders Issued,39.2177880431253,-84.4810989716261,5805 WILLIAMSBURG RD,NA
FPC2201584,litter private property,2022-11-29T00:00:00Z,Closed - In Compliance,39.2897452508065,-84.5016531132868,713 W KEMPER RD,NA
FPC2201582,litter private property,2022-11-29T00:00:00Z,Violation Letter - Criminal Warning,39.2898443904483,-84.5021153769753,721 W KEMPER RD,NA
FPC2201583,litter private property,2022-11-29T00:00:00Z,Closed - In Compliance,39.2897452508065,-84.5016531132868,713 W KEMPER RD,NA
FPC2201580,litter private property,2022-11-29T00:00:00Z,Violation Letter - Criminal Warning,39.2893603123843,-84.4996064959608,673 W KEMPER RD,NA
PSC2211794,"litter, private property",2022-11-29T00:00:00Z,Closed - Transferred to another Agency,39.1032489803502,-84.5480052198144,628 EVANS ST,NA
PSC2211791,"trash, improper set out",2022-11-29T00:00:00Z,Refer to Sanitation,39.1913548031611,-84.4876906978119,129 W 66TH ST,NA
B202206270,res code standard,2022-11-29T00:00:00Z,Intake - New Case,39.198048986598,-84.4647091029102,1442 SECTION RD,NA
PSA2202218,"litter, private property",2022-11-29T00:00:00Z,NA,39.192893095379,-84.4836579660874,103 W 69TH ST,NA
B202204826,parking in yard stndrd,2022-11-29T00:00:00Z,Orders Issued,39.1968579561229,-84.5663168762459,2346 W NORTH BEND RD,NA
FPC2201585,litter private property,2022-11-29T00:00:00Z,Closed - In Compliance,39.2896858296495,-84.5014358378918,709 W KEMPER RD,NA
PSC2211810,"litter, private property",2022-11-29T00:00:00Z,Intake - New Case,39.1497316149913,-84.5887786255785,2669 WESTWOOD NORTHERN BLVD,NA
B202204828,run business fm res stndrd,2022-11-29T00:00:00Z,Intake - New Case,39.1889264703604,-84.4555679736698,1955 LOSANTIVILLE AV,NA
B202206268,res code standard,2022-11-29T00:00:00Z,Orders Issued,39.198048986598,-84.4647091029102,1442 SECTION RD,NA
FPC2201581,litter private property,2022-11-29T00:00:00Z,Violation Letter - Criminal Warning,39.2897880194025,-84.5018805173677,717 W KEMPER RD,NA
BC20220596,comm code standard,2022-11-28T00:00:00Z,Closed,39.1455739406555,-84.539549815618,1330 ARLINGTON ST,NA
B202206260,res code standard,2022-11-28T00:00:00Z,Closed,39.1930703720039,-84.5669536884216,2447 W NORTH BEND RD,NA
BC20220594,comm code standard,2022-11-28T00:00:00Z,Closed,39.198048986598,-84.4647091029102,1442 SECTION RD,NA
B202206255,res code standard,2022-11-28T00:00:00Z,Orders Issued,39.1262728837455,-84.5522898429255,1680 QUEEN CITY AV,NA
B202206247,fire request for ins stndrd,2022-11-28T00:00:00Z,Orders Issued,39.1917342674826,-84.5670308439156,5465 KIRBY AV,NA
PSA2202217,"litter, private property",2022-11-28T00:00:00Z,NA,39.0916330424685,-84.5703418551812,725 STEINER AV,NA
PSC2211781,"litter, private property",2022-11-28T00:00:00Z,Intake - New Case,39.1228146341773,-84.6045468934449,4948 HEUWERTH AV,NA
BC20220597,comm code standard,2022-11-28T00:00:00Z,Orders Issued,39.1961615251133,-84.4784914721962,7221 VINE ST,NA
JV22000925,junk veh on private prop,2022-11-28T00:00:00Z,Referred for Towing to Impound Lot,39.1010765870956,-84.5450517440521,1801 W 6TH ST,NA
B202206248,res code standard,2022-11-28T00:00:00Z,Closed,39.1501684387915,-84.5303256607773,601 MCALPIN AV,NA
ZC20220178,@@@@@,2022-11-28T00:00:00Z,NA,39.153440048974,-84.6275556572225,6518 GLENWAY AV,NA
